codstz,tiposens,datetime,valore,nome,comune,quota,x,y
153,LFREAT,2019-11-28T21:00:00Z,21.72,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-28T22:00:00Z,21.71,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-28T23:00:00Z,21.7,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T00:00:00Z,21.68,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T01:00:00Z,21.65,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T02:00:00Z,21.65,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T03:00:00Z,21.63,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T04:00:00Z,21.61,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T05:00:00Z,21.6,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T06:00:00Z,21.58,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T07:00:00Z,21.57,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T08:00:00Z,21.56,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T09:00:00Z,21.55,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T10:00:00Z,21.53,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T11:00:00Z,21.51,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T12:00:00Z,21.5,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T13:00:00Z,21.48,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T14:00:00Z,21.47,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T15:00:00Z,21.46,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T16:00:00Z,21.45,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T17:00:00Z,21.43,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T18:00:00Z,21.42,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T19:00:00Z,21.41,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T20:00:00Z,21.4,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T21:00:00Z,21.38,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T22:00:00Z,21.37,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-29T23:00:00Z,21.36,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T00:00:00Z,21.35,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T01:00:00Z,21.33,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T02:00:00Z,21.32,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T03:00:00Z,21.31,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T04:00:00Z,21.3,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T05:00:00Z,21.29,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T06:00:00Z,21.28,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T07:00:00Z,21.27,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T08:00:00Z,21.26,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T09:00:00Z,21.25,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T10:00:00Z,21.24,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T11:00:00Z,21.23,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T12:00:00Z,21.21,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T13:00:00Z,21.2,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T14:00:00Z,21.19,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T15:00:00Z,21.18,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T16:00:00Z,21.17,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T17:00:00Z,21.16,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T18:00:00Z,21.15,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T19:00:00Z,21.14,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T20:00:00Z,21.12,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T21:00:00Z,21.12,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T22:00:00Z,21.1,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-11-30T23:00:00Z,21.09,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T00:00:00Z,21.08,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T01:00:00Z,21.07,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T02:00:00Z,21.06,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T03:00:00Z,21.05,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T04:00:00Z,21.03,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T05:00:00Z,21.03,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T06:00:00Z,21.01,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T07:00:00Z,21,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T08:00:00Z,20.99,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T09:00:00Z,20.99,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T10:00:00Z,20.98,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T11:00:00Z,20.96,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T12:00:00Z,20.95,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T13:00:00Z,20.94,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T14:00:00Z,20.93,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T15:00:00Z,20.92,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T16:00:00Z,20.9,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T17:00:00Z,20.89,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T18:00:00Z,20.88,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T19:00:00Z,20.87,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T20:00:00Z,20.87,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T21:00:00Z,20.85,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T22:00:00Z,20.85,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-01T23:00:00Z,20.83,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T00:00:00Z,20.82,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T01:00:00Z,20.81,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T02:00:00Z,20.8,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T03:00:00Z,20.79,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T04:00:00Z,20.78,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T05:00:00Z,20.77,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T06:00:00Z,20.76,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T07:00:00Z,20.75,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T08:00:00Z,20.75,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T09:00:00Z,20.74,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T10:00:00Z,20.73,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T11:00:00Z,20.72,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T12:00:00Z,20.71,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T13:00:00Z,20.71,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T14:00:00Z,20.69,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T15:00:00Z,20.69,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T16:00:00Z,20.68,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T17:00:00Z,20.68,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T18:00:00Z,20.67,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T19:00:00Z,20.68,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T20:00:00Z,20.67,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T21:00:00Z,20.66,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T22:00:00Z,20.66,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-02T23:00:00Z,20.65,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T00:00:00Z,20.64,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T01:00:00Z,20.63,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T02:00:00Z,20.63,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T03:00:00Z,20.62,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T04:00:00Z,20.61,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T05:00:00Z,20.6,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T06:00:00Z,20.59,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T07:00:00Z,20.59,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T08:00:00Z,20.59,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T09:00:00Z,20.58,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T10:00:00Z,20.58,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T11:00:00Z,20.57,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T12:00:00Z,20.56,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T13:00:00Z,20.55,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T14:00:00Z,20.54,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T15:00:00Z,20.53,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T16:00:00Z,20.53,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T17:00:00Z,20.52,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T18:00:00Z,20.52,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T19:00:00Z,20.51,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T20:00:00Z,20.51,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T21:00:00Z,20.5,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T22:00:00Z,20.5,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-03T23:00:00Z,20.49,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T00:00:00Z,20.48,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T01:00:00Z,20.47,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T02:00:00Z,20.46,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T03:00:00Z,20.45,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T04:00:00Z,20.44,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T05:00:00Z,20.44,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T06:00:00Z,20.43,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T07:00:00Z,20.43,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T08:00:00Z,20.42,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T09:00:00Z,20.42,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T10:00:00Z,20.41,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T11:00:00Z,20.4,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T12:00:00Z,20.39,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T13:00:00Z,20.38,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T14:00:00Z,20.37,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T15:00:00Z,20.36,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T16:00:00Z,20.36,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T17:00:00Z,20.35,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T18:00:00Z,20.35,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T19:00:00Z,20.33,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T20:00:00Z,20.34,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T21:00:00Z,20.33,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T22:00:00Z,20.32,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-04T23:00:00Z,20.32,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T00:00:00Z,20.31,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T01:00:00Z,20.31,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T02:00:00Z,20.3,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T03:00:00Z,20.29,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T04:00:00Z,20.29,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T05:00:00Z,20.28,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T06:00:00Z,20.28,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T07:00:00Z,20.28,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T08:00:00Z,20.27,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T09:00:00Z,20.27,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T10:00:00Z,20.26,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T11:00:00Z,20.26,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T12:00:00Z,20.25,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
153,LFREAT,2019-12-05T13:00:00Z,20.24,Breganze AIST132,BREGANZE (VI),92.21,1700819,5063249
