"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
102;"Castelfranco Veneto (Salvarosa)";26/03/2009;;"FREAT";48.86;"CASTELFRANCO VENETO (TV)";"TV";"CONDUC, LFREAT, LFREAT, TFREAT";1729533;5064401;45.69492112;11.94778216;"";"";" ";
104;"Villafranca di Verona";01/03/2009;;"FREAT";67;"VILLAFRANCA DI VERONA (VR)";"VR";"LFREAT, TFREAT";1643529;5025977;45.3724202;10.83262812;"FISS.TAR.C.BIANCO";"FISSERO - Tartaro - Canalbianco ";"Vene-D Po, Fissero-Tartaro-Canalbianco e Basso Adige";
105;"Lonigo";02/03/2009;;"FREAT";28.52;"LONIGO (VI)";"VI";"LFREAT, LFREAT";1686303;5029102;45.39045584;11.37964132;"";"";" ";
109;"Vedelago";01/01/2000;;"FREAT";43.94;"VEDELAGO (TV)";"TV";"LFREAT, TFREAT";1735352.4;5063746.8;45.68708916;12.02210396;"";"";" ";
110;"Lovadina di Spresiano";01/01/2000;;"FREAT";46;"SPRESIANO (TV)";"TV";"LFREAT, TFREAT";1755485.757;5073632.441;45.768792;12.285456;"";"";" ";
111;"Arcade";01/01/2000;;"FREAT";57;"ARCADE (TV)";"TV";"LFREAT, TFREAT";1750918.457;5074903.955;45.78189101;12.227472;"";"";" ";
112;"Buttapietra ex San Fermo";01/01/2000;;"FREAT";32.47;"BUTTAPIETRA (VR)";"VR";"LFREAT, TFREAT";1658291;5024933;45.35984812;11.02070107;"";"";" ";
113;"Bassano velodromo Mercante";01/01/2000;;"FREAT";132;"BASSANO DEL GRAPPA (VI)";"VI";"LFREAT, TFREAT";1713915.981;5072317.819;45.77109301;11.750936;"";"";" ";
114;"Tezze di Arzignano";01/01/2000;;"FREAT";93.6;"ARZIGNANO (VI)";"VI";"LFREAT, TFREAT";1685376;5046107;45.54363267;11.37422639;"";"";" ";
115;"Montecchio";01/01/2000;;"FREAT";79;"MONTECCHIO MAGGIORE (VI)";"VI";"LFREAT, TFREAT";1686716;5042639;45.51208693;11.39005415;"";"";" ";
116;"Riese Pio X";01/01/2015;;"FREAT";71.47;"RIESE PIO X (TV)";"TV";"LFREAT, TFREAT";1728088;5069043;45.73712409;11.93143088;"";"";" ";
117;"Sorga'";23/02/2009;;"FREAT";23.62;"SORGA' (VR)";"VR";"LFREAT, LFREAT";1657714.071;5009099.344;45.21753966;11.00830055;"";"";" ";
118;"Maser";01/01/2015;;"FREAT";142.28;"MASER (TV)";"TV";"LFREAT, TFREAT";1732787;5077645;45.81287532;11.99588926;"";"";" ";
119;"Pescantina";01/01/2015;;"FREAT";113.11;"PESCANTINA (VR)";"VR";"CONDUC, LFREAT, TFREAT";1645398;5040331;45.50116736;10.86072866;"";"";" ";
120;"Lancenigo Villorba";01/01/2000;;"FREAT";27;"VILLORBA (TV)";"TV";"LFREAT, TFREAT";1754133;5067144;45.71098631;12.26468409;"";"";" ";
121;"Sovizzo";01/01/2000;;"FREAT";42.37;"SOVIZZO (VI)";"VI";"LFREAT, TFREAT";1690799;5044118;45.52428103;11.44285401;"";"";" ";
122;"Santa Lucia di Piave";01/12/2015;;"FREAT";55.62;"SANTA LUCIA DI PIAVE (TV)";"TV";"LFREAT, TFREAT";1755810;5081437;45.83880001;12.29375501;"";"";" ";
123;"Arcole";11/09/2008;;"FREAT";26.92;"ARCOLE (VR)";"VR";"LFREAT, LFREAT";1679787.748;5027249.815;45.37550277;11.29582046;"";"";" ";
124;"Cordignano";01/12/2015;;"FREAT";51.3;"CORDIGNANO (TV)";"TV";"LFREAT, TFREAT";1762004;5092779;45.93837754;12.37956235;"";"";" ";
125;"Falze' di Trevignano";01/12/2015;;"FREAT";62.91;"TREVIGNANO (TV)";"TV";"CONDUC, LFREAT, TFREAT";1740895;5070985;45.75023725;12.09677562;"";"";" ";
126;"Alte";15/03/2016;;"FREAT";52;"MONTECCHIO MAGGIORE (VI)";"VI";"LFREAT, TFREAT";1689151;5039474;45.48296767;11.41997904;"";"";" ";
127;"Schiavon Longa";27/05/2019;;"FREAT";67.05;"SCHIAVON (VI)";"VI";"LFREAT, TFREAT";1704958;5062381;45.6844867;11.63162515;"";"";" ";
128;"Bressanvido Mezzalira";15/07/2019;;"FREAT";58.56;"BRESSANVIDO (VI)";"VI";"LFREAT, TFREAT";1707003;5059172;45.65502695;11.65649177;"";"";" ";
129;"Pozzoleone Belvedere";27/05/2019;;"FREAT";56.38;"POZZOLEONE (VI)";"VI";"LFREAT, TFREAT";1709880;5059960;45.66124751;11.69371661;"";"";" ";
130;"Sandrigo Tesina";15/07/2019;;"FREAT";60.94;"SANDRIGO (VI)";"VI";"LFREAT, TFREAT";1703453;5059950;45.66307212;11.61130158;"";"";" ";
131;"Sandrigo via Chilesotti";15/07/2019;;"FREAT";66.03;"SANDRIGO (VI)";"VI";"LFREAT, TFREAT";1702101;5059546;45.65983474;11.59379656;"";"";" ";
132;"Sandrigo Lupiola-S.Cristina";15/07/2019;;"FREAT";49.26;"SANDRIGO (VI)";"VI";"LFREAT, TFREAT";1703934;5056219;45.62938422;11.61590675;"";"";" ";
133;"Villaverla via Sant'Antonio";15/07/2019;;"FREAT";73.79;"VILLAVERLA (VI)";"VI";"LFREAT, TFREAT";1694421;5058489;45.65252467;11.49489046;"";"";" ";
134;"Novoledo Nord";12/09/2019;;"FREAT";60.02;"VILLAVERLA (VI)";"VI";"LFREAT, TFREAT";1695686;5057597;45.6441482;11.51075155;"";"";" ";
