"Codice";"Nome";"Inizio";"Fine";"Tipo";"Quota";"Comune";"Provincia";"Sensori";"Epsg3003_X";"Epsg3003_Y";"Epsg4258_Lat";"Epsg4258_Lon";"Bacino";"SottoBacino";"ZonaAllerta"
18;"Goima (Zoldo Alto)";05/03/1991;01/01/1998;"METEO";1190;"VAL DI ZOLDO (BL)";"BL";"PREC, TARIA2M, TARIAMAX2M, TARIAMIN2M";1739093;5136811;46.34244001;12.10667082;"PIAVE: VENETO";"PIAVE - Maé";"Vene-A Alto Piave";
19;"Agordo";16/02/1984;;"METEO";585;"AGORDO (BL)";"BL";"DVENTO10M, DVENTO10M, DVENTO5M, DVENTO5M, ELIOFANIA, ET0, FREQGEONOR, HUMIDEX2M, INDSEREN, PREC, PRECGEONOR, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VRAFFICA5M, VSFIL10M, VSFIL5M, VVENTO10M, VVENTO5M, VVMEDARIT10M, VVMEDARIT5M";1733713;5129437;46.27804651;12.03319083;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
20;"Cordevole a Ponte Mas 2";15/03/1989;15/11/2012;"IDRO";377;"SEDICO (BL)";"BL";"LIDRO, LIDRO, LIDROMAX, LIDROMAX, LIDROMIN, LIDROMIN";1741394;5116067;46.15521194;12.12590565;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
21;"Sant'Andrea (Gosaldo)";16/02/1984;;"METEO";1254;"GOSALDO (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, HUMIDEX2M, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1728100.043;5123840.175;46.22965097;11.95772698;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-A Alto Piave";
22;"Sant'Antonio Tortal";01/09/1988;;"METEO";544;"BORGO VALBELLUNA (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, ET0, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1744072;5104281;46.04834616;12.15448034;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
23;"Belluno loc. Pra' Magri";01/04/1996;18/01/2005;"METEO";385;"BELLUNO (BL)";"BL";"TARIA2M, TARIAMAX2M, TARIAMIN2M";1744250;5111799;46.11584194;12.16063835;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
24;"Mis a Piz";17/10/1984;01/02/2000;"METEO";332;"SOSPIROLO (BL)";"BL";"LIDRO";1738322;5114176;46.13929829;12.08522909;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
25;"Sospirolo";04/12/1983;;"METEO";426;"SOSPIROLO (BL)";"BL";"DVENTO5M, DVENTO5M, ET0, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1737556.679;5114295.114;46.14063559;12.07539462;"PIAVE: VENETO";"PIAVE - Cordevole";"Vene-H Piave pedemontano";
28;"Monte Cesen";09/07/1990;;"METEO";1552;"VALDOBBIADENE (TV)";"TV";"DVENTO10M, DVENTO10M, ET0, HUMIDEX2M, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA10M, VSFIL10M, VVENTO10M, VVMEDARIT10M";1734164.931;5092424.458;45.945242;12.020877;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
31;"Foen Case Rosse";16/06/1984;01/01/1998;"METEO";352;"FELTRE (BL)";"BL";"DVENTO5M, DVENTO5M, ELIOFANIA, INDSEREN, PREC, RADSOL, TARIA2M, TARIAMAX2M, TARIAMIN2M, UMID2M, VRAFFICA5M, VSFIL5M, VVENTO5M, VVMEDARIT5M";1724461;5102900;46.04264388;11.90068608;"PIAVE: VENETO";"PIAVE";"Vene-H Piave pedemontano";
