anno,sensore,recs,min,mean,p25,median,p75,p98,max,dev_st
2019,PREC,2831,0,0.18262098198516424,0,0,0,2.480000000000018,14.6,0.8856342584198114
2019,TARIA2M,8759,-6.1,14.447676675419569,8.1,13.6,8.1,32.1,38.4,8.94131567954831
2020,PREC,8736,0,0.11021062271062271,0,0,0,1.6,31.4,0.8367222289577821
2020,TARIA2M,8784,-3.5,14.081728142076503,7.2,13.9,7.2,31.1,36.1,8.601582042636498
2021,PREC,8760,0,0.12267123287671233,0,0,0,1.6,48.2,0.9856451998570378
2021,TARIA2M,8760,-6,13.685867579908676,6.7,13.2,6.7,30.98199999999997,35.3,8.83788401735073
2022,PREC,2161,0,0.035724201758445165,0,0,0,0.3600000000000364,5,0.29643100160902475
2022,TARIA2M,2161,-4.8,5.582785747339194,1.4,5.5,1.4,17.860000000000035,22.4,5.214595774158419
